scope,day,colour_id,count
overall,,C00,336
overall,,C01,3
overall,,C02,163
overall,,C03,44
overall,,C04,235
overall,,C05,94
overall,,C06,94
overall,,C07,118
overall,,C08,288
overall,,C09,462
overall,,C10,27
overall,,C11,136
overall,,C12,25
tile,1,C00,0
tile,1,C01,0
tile,1,C02,31
tile,1,C03,0
tile,1,C04,0
tile,1,C05,1
tile,1,C06,16
tile,1,C07,12
tile,1,C08,6
tile,1,C09,0
tile,1,C10,9
tile,1,C11,6
tile,1,C12,0
tile,2,C00,0
tile,2,C01,0
tile,2,C02,0
tile,2,C03,0
tile,2,C04,55
tile,2,C05,18
tile,2,C06,1
tile,2,C07,3
tile,2,C08,2
tile,2,C09,0
tile,2,C10,0
tile,2,C11,1
tile,2,C12,1
tile,3,C00,59
tile,3,C01,0
tile,3,C02,0
tile,3,C03,0
tile,3,C04,0
tile,3,C05,0
tile,3,C06,0
tile,3,C07,1
tile,3,C08,2
tile,3,C09,19
tile,3,C10,0
tile,3,C11,0
tile,3,C12,0
tile,4,C00,7
tile,4,C01,0
tile,4,C02,0
tile,4,C03,0
tile,4,C04,1
tile,4,C05,3
tile,4,C06,0
tile,4,C07,7
tile,4,C08,49
tile,4,C09,13
tile,4,C10,0
tile,4,C11,1
tile,4,C12,0
tile,5,C00,0
tile,5,C01,0
tile,5,C02,0
tile,5,C03,0
tile,5,C04,0
tile,5,C05,1
tile,5,C06,17
tile,5,C07,1
tile,5,C08,10
tile,5,C09,52
tile,5,C10,0
tile,5,C11,0
tile,5,C12,0
tile,6,C00,3
tile,6,C01,0
tile,6,C02,0
tile,6,C03,0
tile,6,C04,49
tile,6,C05,8
tile,6,C06,0
tile,6,C07,1
tile,6,C08,1
tile,6,C09,8
tile,6,C10,0
tile,6,C11,11
tile,6,C12,0
tile,7,C00,8
tile,7,C01,0
tile,7,C02,0
tile,7,C03,0
tile,7,C04,2
tile,7,C05,3
tile,7,C06,1
tile,7,C07,1
tile,7,C08,1
tile,7,C09,54
tile,7,C10,0
tile,7,C11,8
tile,7,C12,3
tile,8,C00,0
tile,8,C01,0
tile,8,C02,0
tile,8,C03,0
tile,8,C04,6
tile,8,C05,11
tile,8,C06,0
tile,8,C07,10
tile,8,C08,45
tile,8,C09,0
tile,8,C10,0
tile,8,C11,0
tile,8,C12,9
tile,9,C00,0
tile,9,C01,0
tile,9,C02,34
tile,9,C03,0
tile,9,C04,0
tile,9,C05,0
tile,9,C06,0
tile,9,C07,15
tile,9,C08,0
tile,9,C09,15
tile,9,C10,5
tile,9,C11,12
tile,9,C12,0
tile,10,C00,45
tile,10,C01,0
tile,10,C02,0
tile,10,C03,0
tile,10,C04,0
tile,10,C05,0
tile,10,C06,3
tile,10,C07,4
tile,10,C08,12
tile,10,C09,17
tile,10,C10,0
tile,10,C11,0
tile,10,C12,0
tile,11,C00,15
tile,11,C01,0
tile,11,C02,0
tile,11,C03,0
tile,11,C04,0
tile,11,C05,0
tile,11,C06,0
tile,11,C07,4
tile,11,C08,11
tile,11,C09,51
tile,11,C10,0
tile,11,C11,0
tile,11,C12,0
tile,12,C00,9
tile,12,C01,0
tile,12,C02,29
tile,12,C03,1
tile,12,C04,0
tile,12,C05,0
tile,12,C06,2
tile,12,C07,7
tile,12,C08,4
tile,12,C09,20
tile,12,C10,1
tile,12,C11,8
tile,12,C12,0
tile,13,C00,0
tile,13,C01,0
tile,13,C02,0
tile,13,C03,0
tile,13,C04,37
tile,13,C05,14
tile,13,C06,14
tile,13,C07,0
tile,13,C08,1
tile,13,C09,0
tile,13,C10,0
tile,13,C11,15
tile,13,C12,0
tile,14,C00,42
tile,14,C01,0
tile,14,C02,0
tile,14,C03,0
tile,14,C04,0
tile,14,C05,0
tile,14,C06,0
tile,14,C07,3
tile,14,C08,0
tile,14,C09,27
tile,14,C10,0
tile,14,C11,7
tile,14,C12,2
tile,15,C00,7
tile,15,C01,0
tile,15,C02,0
tile,15,C03,0
tile,15,C04,0
tile,15,C05,22
tile,15,C06,0
tile,15,C07,0
tile,15,C08,46
tile,15,C09,6
tile,15,C10,0
tile,15,C11,0
tile,15,C12,0
tile,16,C00,50
tile,16,C01,0
tile,16,C02,0
tile,16,C03,18
tile,16,C04,0
tile,16,C05,0
tile,16,C06,1
tile,16,C07,0
tile,16,C08,0
tile,16,C09,12
tile,16,C10,0
tile,16,C11,0
tile,16,C12,0
tile,17,C00,0
tile,17,C01,0
tile,17,C02,0
tile,17,C03,0
tile,17,C04,0
tile,17,C05,0
tile,17,C06,22
tile,17,C07,22
tile,17,C08,28
tile,17,C09,9
tile,17,C10,0
tile,17,C11,0
tile,17,C12,0
tile,18,C00,21
tile,18,C01,0
tile,18,C02,0
tile,18,C03,0
tile,18,C04,0
tile,18,C05,0
tile,18,C06,0
tile,18,C07,3
tile,18,C08,0
tile,18,C09,48
tile,18,C10,0
tile,18,C11,9
tile,18,C12,0
tile,19,C00,0
tile,19,C01,0
tile,19,C02,38
tile,19,C03,0
tile,19,C04,1
tile,19,C05,9
tile,19,C06,0
tile,19,C07,3
tile,19,C08,4
tile,19,C09,0
tile,19,C10,7
tile,19,C11,18
tile,19,C12,1
tile,20,C00,1
tile,20,C01,3
tile,20,C02,0
tile,20,C03,0
tile,20,C04,43
tile,20,C05,1
tile,20,C06,3
tile,20,C07,4
tile,20,C08,11
tile,20,C09,1
tile,20,C10,0
tile,20,C11,8
tile,20,C12,6
tile,21,C00,10
tile,21,C01,0
tile,21,C02,0
tile,21,C03,0
tile,21,C04,0
tile,21,C05,0
tile,21,C06,0
tile,21,C07,4
tile,21,C08,47
tile,21,C09,20
tile,21,C10,0
tile,21,C11,0
tile,21,C12,0
tile,22,C00,48
tile,22,C01,0
tile,22,C02,0
tile,22,C03,0
tile,22,C04,8
tile,22,C05,0
tile,22,C06,1
tile,22,C07,0
tile,22,C08,0
tile,22,C09,16
tile,22,C10,0
