scope,day,colour_id,count
overall,,C00,5030
overall,,C01,882
overall,,C02,550
overall,,C03,430
overall,,C04,3100
overall,,C05,303
overall,,C06,1809
overall,,C07,968
overall,,C08,2186
overall,,C09,613
overall,,C10,146
overall,,C11,757
overall,,C12,1451
tile,1,C00,138
tile,1,C01,12
tile,1,C02,39
tile,1,C03,47
tile,1,C04,28
tile,1,C05,4
tile,1,C06,53
tile,1,C07,64
tile,1,C08,194
tile,1,C09,6
tile,1,C10,14
tile,1,C11,40
tile,1,C12,90
tile,2,C00,247
tile,2,C01,13
tile,2,C02,81
tile,2,C03,15
tile,2,C04,94
tile,2,C05,0
tile,2,C06,40
tile,2,C07,29
tile,2,C08,30
tile,2,C09,4
tile,2,C10,40
tile,2,C11,117
tile,2,C12,19
tile,3,C00,202
tile,3,C01,6
tile,3,C02,128
tile,3,C03,23
tile,3,C04,196
tile,3,C05,1
tile,3,C06,43
tile,3,C07,15
tile,3,C08,33
tile,3,C09,11
tile,3,C10,6
tile,3,C11,41
tile,3,C12,24
tile,4,C00,170
tile,4,C01,19
tile,4,C02,63
tile,4,C03,3
tile,4,C04,37
tile,4,C05,2
tile,4,C06,140
tile,4,C07,13
tile,4,C08,24
tile,4,C09,59
tile,4,C10,0
tile,4,C11,37
tile,4,C12,162
tile,5,C00,210
tile,5,C01,21
tile,5,C02,32
tile,5,C03,11
tile,5,C04,32
tile,5,C05,2
tile,5,C06,77
tile,5,C07,21
tile,5,C08,133
tile,5,C09,0
tile,5,C10,2
tile,5,C11,92
tile,5,C12,96
tile,6,C00,127
tile,6,C01,53
tile,6,C02,0
tile,6,C03,4
tile,6,C04,165
tile,6,C05,20
tile,6,C06,109
tile,6,C07,38
tile,6,C08,109
tile,6,C09,7
tile,6,C10,0
tile,6,C11,38
tile,6,C12,59
tile,7,C00,107
tile,7,C01,21
tile,7,C02,0
tile,7,C03,5
tile,7,C04,106
tile,7,C05,9
tile,7,C06,128
tile,7,C07,57
tile,7,C08,169
tile,7,C09,51
tile,7,C10,1
tile,7,C11,23
tile,7,C12,52
tile,8,C00,138
tile,8,C01,34
tile,8,C02,26
tile,8,C03,31
tile,8,C04,167
tile,8,C05,3
tile,8,C06,103
tile,8,C07,40
tile,8,C08,75
tile,8,C09,12
tile,8,C10,9
tile,8,C11,43
tile,8,C12,48
tile,9,C00,153
tile,9,C01,26
tile,9,C02,0
tile,9,C03,3
tile,9,C04,186
tile,9,C05,8
tile,9,C06,119
tile,9,C07,61
tile,9,C08,60
tile,9,C09,41
tile,9,C10,0
tile,9,C11,13
tile,9,C12,59
tile,10,C00,150
tile,10,C01,28
tile,10,C02,1
tile,10,C03,9
tile,10,C04,132
tile,10,C05,3
tile,10,C06,54
tile,10,C07,44
tile,10,C08,142
tile,10,C09,33
tile,10,C10,0
tile,10,C11,54
tile,10,C12,79
tile,11,C00,103
tile,11,C01,82
tile,11,C02,0
tile,11,C03,5
tile,11,C04,297
tile,11,C05,51
tile,11,C06,89
tile,11,C07,24
tile,11,C08,49
tile,11,C09,6
tile,11,C10,0
tile,11,C11,10
tile,11,C12,13
tile,12,C00,186
tile,12,C01,48
tile,12,C02,0
tile,12,C03,10
tile,12,C04,121
tile,12,C05,8
tile,12,C06,71
tile,12,C07,63
tile,12,C08,147
tile,12,C09,6
tile,12,C10,0
tile,12,C11,14
tile,12,C12,55
tile,13,C00,375
tile,13,C01,21
tile,13,C02,0
tile,13,C03,23
tile,13,C04,66
tile,13,C05,1
tile,13,C06,5
tile,13,C07,37
tile,13,C08,71
tile,13,C09,7
tile,13,C10,0
tile,13,C11,18
tile,13,C12,105
tile,14,C00,232
tile,14,C01,20
tile,14,C02,0
tile,14,C03,44
tile,14,C04,212
tile,14,C05,7
tile,14,C06,36
tile,14,C07,36
tile,14,C08,52
tile,14,C09,25
tile,14,C10,0
tile,14,C11,13
tile,14,C12,52
tile,15,C00,28
tile,15,C01,17
tile,15,C02,61
tile,15,C03,19
tile,15,C04,74
tile,15,C05,10
tile,15,C06,160
tile,15,C07,66
tile,15,C08,163
tile,15,C09,41
tile,15,C10,22
tile,15,C11,16
tile,15,C12,52
tile,16,C00,120
tile,16,C01,125
tile,16,C02,0
tile,16,C03,2
tile,16,C04,291
tile,16,C05,17
tile,16,C06,112
tile,16,C07,20
tile,16,C08,33
tile,16,C09,1
tile,16,C10,0
tile,16,C11,7
tile,16,C12,1
tile,17,C00,200
tile,17,C01,79
tile,17,C02,0
tile,17,C03,2
tile,17,C04,180
tile,17,C05,16
tile,17,C06,97
tile,17,C07,26
tile,17,C08,67
tile,17,C09,2
tile,17,C10,1
tile,17,C11,18
tile,17,C12,41
tile,18,C00,86
tile,18,C01,22
tile,18,C02,17
tile,18,C03,1
tile,18,C04,111
tile,18,C05,6
tile,18,C06,127
tile,18,C07,107
tile,18,C08,129
tile,18,C09,11
tile,18,C10,13
tile,18,C11,45
tile,18,C12,54
tile,19,C00,429
tile,19,C01,44
tile,19,C02,0
tile,19,C03,41
tile,19,C04,70
tile,19,C05,0
tile,19,C06,14
tile,19,C07,6
tile,19,C08,65
tile,19,C09,21
tile,19,C10,2
tile,19,C11,11
tile,19,C12,26
tile,20,C00,314
tile,20,C01,87
tile,20,C02,22
tile,20,C03,5
tile,20,C04,79
tile,20,C05,10
tile,20,C06,37
tile,20,C07,25
tile,20,C08,44
tile,20,C09,28
tile,20,C10,1
tile,20,C11,27
tile,20,C12,50
tile,21,C00,116
tile,21,C01,40
tile,21,C02,0
tile,21,C03,1
tile,21,C04,148
tile,21,C05,33
tile,21,C06,86
tile,21,C07,36
tile,21,C08,162
tile,21,C09,87
tile,21,C10,0
tile,21,C11,5
tile,21,C12,15
tile,22,C00,242
tile,22,C01,25
tile,22,C02,0
tile,22,C03,1
tile,22,C04,147
tile,22,C05,59
tile,22,C06,89
tile,22,C07,65
tile,22,C08,36
tile,22,C09,27
tile,22,C10,0
tile,22,C11,10
tile,22,C12,28
tile,23,C00,276
tile,23,C01,9
tile,23,C02,80
tile,23,C03,25
tile,23,C04,27
tile,23,C05,0
tile,23,C06,1
tile,23,C07,43
tile,23,C08,148
tile,23,C09,11
tile,23,C10,34
tile,23,C11,14
tile,23,C12,61
tile,24,C00,431
tile,24,C01,3
tile,24,C02,0
tile,24,C03,96
tile,24,C04,76
tile,24,C05,0
tile,24,C06,0
tile,24,C07,4
tile,24,C08,2
tile,24,C09,32
tile,24,C10,0
tile,24,C11,6
tile,24,C12,79
tile,25,C00,250
tile,25,C01,27
tile,25,C02,0
tile,25,C03,4
tile,25,C04,58
tile,25,C05,33
tile,25,C06,19
tile,25,C07,28
tile,25,C08,49
tile,25,C09,84
tile,25,C10,1
tile,25,C11,45
tile,25,C12,131
