scope,day,colour_id,count
overall,,C00,279
overall,,C01,416
overall,,C02,266
overall,,C03,200
overall,,C04,38
overall,,C05,52
overall,,C06,14
overall,,C07,268
overall,,C08,89
overall,,C09,200
overall,,C10,67
overall,,C11,109
overall,,C12,27
tile,1,C00,0
tile,1,C01,19
tile,1,C02,0
tile,1,C03,0
tile,1,C04,5
tile,1,C05,9
tile,1,C06,0
tile,1,C07,0
tile,1,C08,0
tile,1,C09,40
tile,1,C10,8
tile,1,C11,0
tile,1,C12,0
tile,2,C00,0
tile,2,C01,0
tile,2,C02,0
tile,2,C03,0
tile,2,C04,0
tile,2,C05,1
tile,2,C06,0
tile,2,C07,63
tile,2,C08,0
tile,2,C09,0
tile,2,C10,0
tile,2,C11,8
tile,2,C12,9
tile,3,C00,11
tile,3,C01,6
tile,3,C02,41
tile,3,C03,19
tile,3,C04,0
tile,3,C05,0
tile,3,C06,0
tile,3,C07,0
tile,3,C08,0
tile,3,C09,0
tile,3,C10,0
tile,3,C11,4
tile,3,C12,0
tile,4,C00,5
tile,4,C01,60
tile,4,C02,6
tile,4,C03,2
tile,4,C04,0
tile,4,C05,0
tile,4,C06,2
tile,4,C07,0
tile,4,C08,2
tile,4,C09,0
tile,4,C10,2
tile,4,C11,2
tile,4,C12,0
tile,5,C00,47
tile,5,C01,6
tile,5,C02,3
tile,5,C03,10
tile,5,C04,3
tile,5,C05,12
tile,5,C06,0
tile,5,C07,0
tile,5,C08,0
tile,5,C09,0
tile,5,C10,0
tile,5,C11,0
tile,5,C12,0
tile,6,C00,3
tile,6,C01,2
tile,6,C02,58
tile,6,C03,7
tile,6,C04,0
tile,6,C05,0
tile,6,C06,0
tile,6,C07,5
tile,6,C08,0
tile,6,C09,0
tile,6,C10,5
tile,6,C11,1
tile,6,C12,0
tile,7,C00,2
tile,7,C01,57
tile,7,C02,3
tile,7,C03,4
tile,7,C04,2
tile,7,C05,1
tile,7,C06,0
tile,7,C07,2
tile,7,C08,0
tile,7,C09,0
tile,7,C10,1
tile,7,C11,7
tile,7,C12,2
tile,8,C00,34
tile,8,C01,9
tile,8,C02,0
tile,8,C03,5
tile,8,C04,0
tile,8,C05,0
tile,8,C06,0
tile,8,C07,10
tile,8,C08,10
tile,8,C09,0
tile,8,C10,2
tile,8,C11,10
tile,8,C12,1
tile,9,C00,0
