scope,day,colour_id,count
overall,,C00,4737
overall,,C01,2785
overall,,C02,249
overall,,C03,453
overall,,C04,793
overall,,C05,1104
overall,,C06,115
overall,,C07,1833
overall,,C08,660
overall,,C09,349
overall,,C10,98
overall,,C11,2423
overall,,C12,2626
tile,1,C00,235
tile,1,C01,68
tile,1,C02,0
tile,1,C03,1
tile,1,C04,69
tile,1,C05,25
tile,1,C06,0
tile,1,C07,21
tile,1,C08,58
tile,1,C09,68
tile,1,C10,11
tile,1,C11,119
tile,1,C12,54
tile,2,C00,203
tile,2,C01,50
tile,2,C02,1
tile,2,C03,5
tile,2,C04,25
tile,2,C05,27
tile,2,C06,0
tile,2,C07,180
tile,2,C08,21
tile,2,C09,62
tile,2,C10,6
tile,2,C11,90
tile,2,C12,59
tile,3,C00,148
tile,3,C01,216
tile,3,C02,1
tile,3,C03,6
tile,3,C04,31
tile,3,C05,36
tile,3,C06,4
tile,3,C07,20
tile,3,C08,11
tile,3,C09,53
tile,3,C10,11
tile,3,C11,128
tile,3,C12,64
tile,4,C00,174
tile,4,C01,62
tile,4,C02,1
tile,4,C03,12
tile,4,C04,96
tile,4,C05,35
tile,4,C06,1
tile,4,C07,1
tile,4,C08,23
tile,4,C09,66
tile,4,C10,3
tile,4,C11,157
tile,4,C12,98
tile,5,C00,159
tile,5,C01,110
tile,5,C02,32
tile,5,C03,120
tile,5,C04,51
tile,5,C05,17
tile,5,C06,0
tile,5,C07,16
tile,5,C08,35
tile,5,C09,41
tile,5,C10,3
tile,5,C11,71
tile,5,C12,74
tile,6,C00,158
tile,6,C01,94
tile,6,C02,1
tile,6,C03,7
tile,6,C04,95
tile,6,C05,74
tile,6,C06,10
tile,6,C07,55
tile,6,C08,2
tile,6,C09,0
tile,6,C10,1
tile,6,C11,139
tile,6,C12,93
tile,7,C00,182
tile,7,C01,127
tile,7,C02,4
tile,7,C03,13
tile,7,C04,28
tile,7,C05,84
tile,7,C06,0
tile,7,C07,51
tile,7,C08,19
tile,7,C09,0
tile,7,C10,4
tile,7,C11,100
tile,7,C12,117
tile,8,C00,109
tile,8,C01,214
tile,8,C02,16
tile,8,C03,20
tile,8,C04,21
tile,8,C05,117
tile,8,C06,8
tile,8,C07,51
tile,8,C08,1
tile,8,C09,0
tile,8,C10,0
tile,8,C11,71
tile,8,C12,101
tile,9,C00,137
tile,9,C01,85
tile,9,C02,1
tile,9,C03,15
tile,9,C04,58
tile,9,C05,34
tile,9,C06,11
tile,9,C07,120
tile,9,C08,4
tile,9,C09,1
tile,9,C10,3
tile,9,C11,143
tile,9,C12,117
tile,10,C00,242
tile,10,C01,55
tile,10,C02,0
tile,10,C03,46
tile,10,C04,32
tile,10,C05,20
tile,10,C06,0
tile,10,C07,147
tile,10,C08,16
tile,10,C09,0
tile,10,C10,0
tile,10,C11,69
tile,10,C12,102
tile,11,C00,99
tile,11,C01,75
tile,11,C02,0
tile,11,C03,2
tile,11,C04,8
tile,11,C05,71
tile,11,C06,15
tile,11,C07,167
tile,11,C08,10
tile,11,C09,0
tile,11,C10,1
tile,11,C11,47
tile,11,C12,234
tile,12,C00,249
tile,12,C01,91
tile,12,C02,11
tile,12,C03,11
tile,12,C04,19
tile,12,C05,35
tile,12,C06,5
tile,12,C07,39
tile,12,C08,4
tile,12,C09,0
tile,12,C10,2
tile,12,C11,170
tile,12,C12,93
tile,13,C00,287
tile,13,C01,152
tile,13,C02,13
tile,13,C03,2
tile,13,C04,36
tile,13,C05,7
tile,13,C06,2
tile,13,C07,25
tile,13,C08,52
tile,13,C09,0
tile,13,C10,2
tile,13,C11,75
tile,13,C12,76
tile,14,C00,212
tile,14,C01,116
tile,14,C02,19
tile,14,C03,20
tile,14,C04,32
tile,14,C05,30
tile,14,C06,15
tile,14,C07,17
tile,14,C08,42
tile,14,C09,0
tile,14,C10,5
tile,14,C11,119
tile,14,C12,102
tile,15,C00,77
tile,15,C01,179
tile,15,C02,0
tile,15,C03,14
tile,15,C04,50
tile,15,C05,88
tile,15,C06,4
tile,15,C07,104
tile,15,C08,3
tile,15,C09,0
tile,15,C10,0
tile,15,C11,98
tile,15,C12,112
tile,16,C00,75
tile,16,C01,82
tile,16,C02,0
tile,16,C03,4
tile,16,C04,10
tile,16,C05,85
tile,16,C06,5
tile,16,C07,207
tile,16,C08,3
tile,16,C09,0
tile,16,C10,0
tile,16,C11,46
tile,16,C12,212
tile,17,C00,158
tile,17,C01,109
tile,17,C02,3
tile,17,C03,4
tile,17,C04,13
tile,17,C05,45
tile,17,C06,10
tile,17,C07,128
tile,17,C08,6
tile,17,C09,0
tile,17,C10,0
tile,17,C11,109
tile,17,C12,144
tile,18,C00,75
tile,18,C01,235
tile,18,C02,1
tile,18,C03,50
tile,18,C04,57
tile,18,C05,67
tile,18,C06,5
tile,18,C07,47
tile,18,C08,1
tile,18,C09,0
tile,18,C10,0
tile,18,C11,93
tile,18,C12,98
tile,19,C00,328
tile,19,C01,32
tile,19,C02,1
tile,19,C03,5
tile,19,C04,1
tile,19,C05,20
tile,19,C06,0
tile,19,C07,52
tile,19,C08,113
tile,19,C09,0
tile,19,C10,43
tile,19,C11,52
tile,19,C12,82
tile,20,C00,338
tile,20,C01,139
tile,20,C02,1
tile,20,C03,8
tile,20,C04,4
tile,20,C05,0
tile,20,C06,0
tile,20,C07,48
tile,20,C08,16
tile,20,C09,1
tile,20,C10,0
tile,20,C11,40
tile,20,C12,134
tile,21,C00,121
tile,21,C01,137
tile,21,C02,41
tile,21,C03,25
tile,21,C04,10
tile,21,C05,104
tile,21,C06,13
tile,21,C07,115
tile,21,C08,4
tile,21,C09,0
tile,21,C10,0
tile,21,C11,28
tile,21,C12,131
tile,22,C00,153
tile,22,C01,130
tile,22,C02,0
tile,22,C03,4
tile,22,C04,9
tile,22,C05,44
tile,22,C06,5
tile,22,C07,102
tile,22,C08,5
tile,22,C09,0
tile,22,C10,1
tile,22,C11,101
tile,22,C12,175
tile,23,C00,332
tile,23,C01,118
tile,23,C02,2
tile,23,C03,5
tile,23,C04,0
tile,23,C05,0
tile,23,C06,0
tile,23,C07,4
tile,23,C08,43
tile,23,C09,57
tile,23,C10,1
tile,23,C11,79
tile,23,C12,88
tile,24,C00,372
tile,24,C01,26
tile,24,C02,1
tile,24,C03,2
tile,24,C04,9
tile,24,C05,9
tile,24,C06,1
tile,24,C07,38
tile,24,C08,144
tile,24,C09,0
tile,24,C10,0
tile,24,C11,112
tile,24,C12,15
tile,25,C00,114
tile,25,C01,83
tile,25,C02,99
tile,25,C03,52
tile,25,C04,29
tile,25,C05,30
tile,25,C06,1
tile,25,C07,78
tile,25,C08,24
tile,25,C09,0
tile,25,C10,1
tile,25,C11,167
tile,25,C12,51
